Акт;Требование (статья);Битая ссылка;Класс;Регулятор
"Бюджетный кодекс Республики Казахстан. Кодекс Республики Казахстан от 4 декабря 2008 года № 95-IV.";"Бюджетный кодекс Республики Казахстан. Кодекс Республики Казахстан от 4 декабря 2008 года № 95-IV.";"https://10.61.42.188/rus/docs/K080000095_";"internal_ip";""
"Земельный кодекс Республики Казахстан. Кодекс Республики Казахстан от 20 июня 2003 года № 442.";"Статья 122. Земли особо охраняемых природных территорий";"https://10.61.42.188/rus/docs/K030000442_#z138";"internal_ip";"МЭПР РК"
"Земельный кодекс Республики Казахстан. Кодекс Республики Казахстан от 20 июня 2003 года № 442.";"Статья 171. Переходные положения";"https://10.61.42.188/rus/docs/K030000442_#z1569";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 351. Отходы, не приемлемые для полигонов";"https://10.61.42.188/rus/docs/K2100000400#z3720";"internal_ip";"МЗ"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 377. Экологические требования в области управления медицинскими отходами";"https://10.61.42.188/rus/docs/K2100000400#z4092";"internal_ip";"МЗ"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 289. Углеродное квотирование";"https://10.61.42.188/rus/docs/K2100000400#z3157";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 290. Национальный план углеродных квот";"https://10.61.42.188/rus/docs/K2100000400#z3173";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 291. Распределение единиц углеродной квоты";"https://10.61.42.188/kaz/docs/K2100000400#z2801";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 292. Погашение углеродных единиц";"https://10.61.42.188/kaz/docs/K2100000400#z2810 ";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 293. Мониторинг выбросов парниковых газов квотируемых установок";"https://10.61.42.188/kaz/docs/K2100000400#z2814";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 294. Инвентаризация выбросов парниковых газов квотируемых установок";"https://10.61.42.188/kaz/docs/K2100000400#z2819";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 295. Изменение углеродной квоты";"https://10.61.42.188/kaz/docs/K2100000400#z2830";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 296. Смена оператора квотируемой установки";"https://10.61.42.188/kaz/docs/K2100000400#z2841";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 297. Изменение наименования и (или) организационно-правовой формы оператора квотируемой установки";"https://10.61.42.188/kaz/docs/K2100000400#z2845";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 301. Администрирование установок";"https://10.61.42.188/kaz/docs/K2100000400#z2878";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 304. Валидация и верификация";"https://10.61.42.188/kaz/docs/K2100000400#z2896";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 310. Государственный кадастр и инвентаризация озоноразрушающих веществ";"https://10.61.42.188/kaz/docs/K2100000400#z2932";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 311. Общие требования к деятельности по обращению и потреблению озоноразрушающих веществ";"https://10.61.42.188/kaz/docs/K2100000400#z2944";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 17. Экологическая информация";"https://10.61.42.188/rus/docs/K2100000400#z164";"internal_ip";"МЭПР РК"
